合约品种,现价,涨/跌停板,买开保证金,卖开保证金,每手保证金,开仓手续费,平昨手续费,平今手续费,每跳毛利/元,开平手续费,每跳净利润,是否是主力合约,
沪铅 (pb2110),14655,15825/13480,10%,10%,7327.5元,0.4/万分之,0.4/万分之,0/万分之,25,2.9元,22.1,主力合约,0.3016%
豆粕 (m2201),3533,3780/3286,8%,8%,2826.4元,1.5元,1.5元,0元,10,1.5元,8.5,主力合约,0.3007%
沪铅 (pb2111),14710,15885/13530,10%,10%,7355元,0.4/万分之,0.4/万分之,0/万分之,25,2.9元,22.1,,0.3005%
沪铅 (pb2112),14765,15945/13580,10%,10%,7382.5元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2980%
沪铅 (pb2205),14800,15980/13615,10%,10%,7400元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2973%
沪铅 (pb2208),14800,15980/13615,10%,10%,7400元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2973%
沪铅 (pb2209),14810,15990/13625,10%,10%,7405元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2971%
沪铅 (pb2204),14820,16005/13630,10%,10%,7410元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2969%
沪铅 (pb2206),14830,16015/13640,10%,10%,7415元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2967%
沪铅 (pb2201),14835,16020/13645,10%,10%,7417.5元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2966%
沪铅 (pb2202),14850,16035/13660,10%,10%,7425元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2963%
沪铅 (pb2207),14865,16050/13675,10%,10%,7432.5元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2960%
沪铅 (pb2203),14885,16075/13690,10%,10%,7442.5元,0.4/万分之,0.4/万分之,0/万分之,25,3元,22,,0.2956%
尿素 (UR209),2417,2563/2271,7%,7%,3383.8元,5元,5元,5元,20,10元,10,,0.2955%
尿素 (UR208),2458,2606/2310,7%,7%,3441.2元,5元,5元,5元,20,10元,10,,0.2906%
尿素 (UR207),2469,2618/2320,7%,7%,3456.6元,5元,5元,5元,20,10元,10,,0.2893%
纸浆 (sp2208),5462,5952/4970,11%,11%,6008.2元,0.5/万分之,0.5/万分之,0/万分之,20,2.7元,17.3,,0.2879%
纸浆 (sp2207),5468,5960/4974,11%,11%,6014.8元,0.5/万分之,0.5/万分之,0/万分之,20,2.7元,17.3,,0.2876%
燃料油 (fu2111),2966,3203/2728,10%,10%,2966元,0.5/万分之,0.5/万分之,0/万分之,10,1.5元,8.5,,0.2866%
纸浆 (sp2209),5500,5994/5004,11%,11%,6050元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2843%
线型低密度聚乙烯 (l2107),8095,8660/7530,20%,20%,8095元,1元,1元,1元,25,2元,23,,0.2841%
纸浆 (sp2206),5532,6028/5034,11%,11%,6085.2元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2827%
尿素 (UR206),2536,2689/2383,7%,7%,3550.4元,5元,5元,5元,20,10元,10,,0.2817%
纸浆 (sp2205),5558,6058/5056,11%,11%,6113.8元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2813%
尿素 (UR204),2547,2700/2394,7%,7%,3565.8元,5元,5元,5元,20,10元,10,,0.2804%
纸浆 (sp2203),5590,6092/5086,11%,11%,6149元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2797%
线型低密度聚乙烯 (l2108),8230,8805/7655,20%,20%,8230元,1元,1元,1元,25,2元,23,,0.2795%
纸浆 (sp2204),5616,6120/5110,11%,11%,6177.6元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2784%
纸浆 (sp2202),5642,6148/5134,11%,11%,6206.2元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2771%
纸浆 (sp2201),5690,6202/5176,11%,11%,6259元,0.5/万分之,0.5/万分之,0/万分之,20,2.8元,17.2,,0.2748%
尿素 (UR202),2626,2784/2468,7%,7%,3676.4元,5元,5元,5元,20,10元,10,,0.2720%
纸浆 (sp2112),5732,6246/5216,11%,11%,6305.2元,0.5/万分之,0.5/万分之,0/万分之,20,2.9元,17.1,,0.2712%
低硫燃料油 (lu2203),3457,3733/3180,10%,10%,3457元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2690%
红枣 (CJ203),14130,15120/13140,10%,10%,7065元,3元,3元,3元,25,6元,19,,0.2689%
线型低密度聚乙烯 (l2109),8555,9150/7960,20%,20%,8555元,1元,1元,1元,25,2元,23,,0.2688%
红枣 (CJ107),8270,8685/7855,20%,20%,8270元,3元,3元,0元,25,3元,22,,0.2660%
豆油 (y2208),8276,8938/7614,9%,9%,7448.4元,0.2元,0.2元,0元,20,0.2元,19.8,,0.2658%
郑麦 (WH111),2690,2825/2555,7%,7%,3766元,5元,5元,5元,20,10元,10,,0.2655%
郑麦 (WH203),2691,2826/2556,7%,7%,3767.4元,5元,5元,5元,20,10元,10,,0.2654%
尿素 (UR111),2693,2855/2531,7%,7%,3770.2元,5元,5元,5元,20,10元,10,,0.2652%
红枣 (CJ205),14340,15345/13335,10%,10%,7170元,3元,3元,3元,25,6元,19,,0.2650%
尿素 (UR112),2699,2861/2537,7%,7%,3778.6元,5元,5元,5元,20,10元,10,,0.2646%
低硫燃料油 (lu2208),3527,3809/3244,10%,10%,3527元,0.1/万分之,0.1/万分之,0.1/万分之,10,0.7元,9.3,,0.2637%
